Name	Catagory	Icon	Banner	Link	Up In coming? 	imbed Link	A Link Or game page
VS Studio Code	utils	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/Visual_Studio_Code_1.35_icon.svg.png	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/visual-studio-code-banner-image.jpg	https://sites.google.com/view/steamrevolver/campusgames/vs-studio-code	No		Link
Minecraft	Action	https://file.garden/Zya8-gItADlYXzdp/campusgames/minecraft_macos_bigsur_icon_189943.webp	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/images%20(11).jpeg	https://sites.google.com/view/steamrevolver/steamrevolvers/minecraft	No	https://file.garden/Zya8-gItADlYXzdp/EaglercraftX_1.8_u42_Offline_Signed%20%281%29%20%281%29.html	Game Page
2d DOOM	Action	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/download%20(83).jpeg	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/images%20(12).jpeg	https://sites.google.com/view/steamrevolver/campusgames/2d-doom	No	https://file.garden/Zya8-gItADlYXzdp/campusg/index.html	Game Page
Henry StickMen Stealing the Diamond	Puzzle	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/hqdefault%20(1).jpg	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/download%20(85).jpeg	https://sites.google.com/view/steamrevolver/campusgames/henry-stickmen	No	https://file.garden/Zya8-gItADlYXzdp/campusgames/henrystickmen.html	Game Page
Pizza Tower Web Port	Action	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/download.png	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/download%20(86).jpeg	https://sites.google.com/view/steamrevolver/campusgames/pizza-tower-web	No	https://file.garden/Zya8-gItADlYXzdp/campusgames/PZweb.html	Game Page
Hollow Knight	Adventure	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/download%20(87).jpeg	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/download%20(88).jpeg	https://sites.google.com/view/steamrevolver/campusgames/hollow-knight	No	https://file.garden/Zya8-gItADlYXzdp/campusgames/Hollow%20Knight.html	Game Page
Fead The Snakes	Action	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/pit-viper-snake.webp	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/1000_F_465406888_gTJmEw4L8styBBIh76qT385fVsrApBSs.jpg	https://sites.google.com/view/steamrevolver/campusgames/feed-the-snakes	No	https://file.garden/Zya8-gItADlYXzdp/campusgames/feedthesnakes.html	Game Page
Run	Puzzle	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/unnamed.webp	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/20-204188_logo-template-banner-throughout-banner-design-template-template.jpg	https://sites.google.com/view/steamrevolver/campusgames/run	No	https://file.garden/Zya8-gItADlYXzdp/campusgames/run.html	Game Page
Run 3	Puzzle	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/runnnnn3n3n3n3n3.jpg	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/images.jpg	https://sites.google.com/view/steamrevolver/campusgames/run3	No	https://file.garden/Zya8-gItADlYXzdp/campusgames/run3.html	Game Page
Thirstiest Time Of the Year	Action	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/timew.png	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/thirsty.jpg	https://sites.google.com/view/steamrevolver/campusgames/thirstiest-time-of-the-year-webport	No	https://file.garden/Zya8-gItADlYXzdp/unity23/index.html	Game Page
The Impossible Quiz	Puzzle	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/impqiz.png	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/impqdrrrrr.jpg	https://sites.google.com/view/steamrevolver/campusgames/the-impossible-quiz	No	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/index.html	Game Page
The impossible Quiz 2	Puzzle	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/Chrome_screenshot_1682223862037.webp	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/TIQ2_logo.webp	https://sites.google.com/view/steamrevolver/campusgames/the-impossible-quiz-2_1	No	https://file.garden/Zya8-gItADlYXzdp/My-Femboy-Roommate-1.1-web/the%20impquiz2.html	Game Page
Super Mario 64	Adventure	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/c31a880382c0d952211b992535900ea2.ico	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/fe895c991a5152476a051ae74fcbf8ac.jpg	https://sites.google.com/view/steamrevolver/campusgames/mario-64	No	https://file.garden/Zya8-gItADlYXzdp/mario64.html	Game Page
Pokemon Black	Adventure	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/download%20(91).jpeg	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/download%20(92).jpeg	https://sites.google.com/view/steamrevolver/campusgames/pokemon-black	No	https://file.garden/Zya8-gItADlYXzdp/JS/index%20(2).html	Game Page
Pokemon White	Adventure	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/5b97f793636f8baec3ff8cd0ebf5c33c.png	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/images.jpg	https://sites.google.com/view/steamrevolver/	No	https://file.garden/Zya8-gItADlYXzdp/pkwhite/index%20(2).html	Game Page